tamañoMatriz,#procesos,user_time
500,24,0.639670000
675,24,1.649101000
911,24,4.099824000
1229,24,19.995965000
1658,24,34.656337000
2239,24,79.064849000
3023,24,207.996699000
4081,24,472.626632000
5510,24,1241.909624000
500,24,0.639486000
675,24,1.643480000
911,24,4.054971000
1229,24,10.407763000
1658,24,25.840222000
2239,24,79.908715000
3023,24,209.581696000
4081,24,473.631499000
5510,24,1256.292358000
500,24,0.632754000
675,24,1.647144000
911,24,4.047863000
1229,24,20.328742000
1658,24,34.738548000
2239,24,79.260007000
3023,24,198.952729000
4081,24,464.169961000
5510,24,1255.518078000
500,24,0.654161000
675,24,1.671832000
911,24,4.049765000
1229,24,19.990611000
1658,24,34.597434000
2239,24,81.375117000
3023,24,198.761242000
4081,24,465.130571000
5510,24,1251.648039000
500,24,0.650902000
675,24,1.694127000
911,24,13.589877000
1229,24,9.967352000
1658,24,34.638877000
2239,24,90.242189000
3023,24,209.509778000
4081,24,472.350960000
5510,24,1254.661023000
500,24,0.636874000
675,24,1.641382000
911,24,4.141300000
1229,24,20.432226000
1658,24,34.747409000
2239,24,79.357724000
3023,24,208.020420000
4081,24,470.001486000
5510,24,1239.448319000
500,24,2.445278000
675,24,1.639247000
911,24,3.996891000
1229,24,10.058850000
1658,24,36.393271000
2239,24,79.605836000
3023,24,208.406308000
4081,24,473.550181000
5510,24,1250.345675000
500,24,5.727448000
675,24,1.615282000
911,24,3.969544000
1229,24,9.969010000
1658,24,36.475550000
2239,24,78.919878000
3023,24,208.380245000
4081,24,473.115617000
5510,24,1249.958741000
500,24,0.603433000
675,24,1.632853000
911,24,4.065625000
1229,24,9.986509000
1658,24,35.519935000
2239,24,79.788305000
3023,24,209.085732000
4081,24,473.792207000
5510,24,1253.824082000
500,24,5.770429000
675,24,1.614460000
911,24,4.114500000
1229,24,10.039998000
1658,24,36.439688000
2239,24,79.122959000
3023,24,209.269338000
4081,24,473.485133000
5510,24,1250.603855000
