tamaño,tiempo
911,0.130919
1229,0.459359
1658,1.547586
2039,2.873731
3023,9.328590
4081,22.943493
5510,58.097069
911,0.152070
1229,0.647591
1658,1.548252
2039,2.873615
3023,9.356712
4081,22.976064
5510,56.494806
911,0.254381
1229,0.637435
1658,1.547977
2039,2.865191
3023,9.453059
4081,22.943252
5510,56.561866
911,0.252495
1229,0.633048
1658,1.549036
2039,2.870604
3023,9.333950
4081,23.494138
5510,57.620678
911,0.255073
1229,0.573074
1658,1.542867
2039,2.722799
3023,9.330991
4081,22.985608
5510,56.449508
911,0.254084
1229,0.479646
1658,1.546567
2039,2.216237
3023,9.327819
4081,22.939680
5510,57.254109
911,0.252926
1229,0.437439
1658,1.543991
2039,2.875617
3023,9.352974
4081,22.938436
5510,56.490645
911,0.253725
1229,0.633360
1658,1.550028
2039,2.876774
3023,9.325696
4081,23.363180
5510,56.458821
911,0.135731
1229,0.631700
1658,1.549159
2039,2.869951
3023,9.343784
4081,23.040859
5510,56.825451
911,0.254265
1229,0.631688
1658,1.545923
2039,2.871887
3023,9.365569
4081,22.959328
5510,56.492604
