N,num_procesos,pi_est,real_time
100000,12,3.137485499,0.001220614
200000,12,3.137925517,0.001631851
300000,12,3.139373333,0.001671977
100000,12,3.137485499,0.001343577
200000,12,3.137925517,0.001742209
300000,12,3.139373333,0.001642381
100000,12,3.137485499,0.001322196
200000,12,3.137925517,0.001225254
300000,12,3.139373333,0.001607805
100000,12,3.136325453,0.001383238
200000,12,3.148945958,0.003873665
300000,12,3.139640000,0.001726125
100000,12,3.136805472,0.001604826
200000,12,3.147985919,0.002607818
300000,12,3.144360000,0.001841282
100000,12,3.144765791,0.001393498
200000,12,3.147865915,0.001831964
300000,12,3.141080000,0.001770158
100000,12,3.140925637,0.005529716
200000,12,3.144705788,0.009289465
300000,12,3.139666667,0.009170585
100000,12,3.146885875,0.005745274
200000,12,3.140325613,0.006093076
300000,12,3.138533333,0.008296709
100000,12,3.151166047,0.005824279
200000,12,3.135905436,0.004688049
300000,12,3.142293333,0.004360423
