N,trial,processes,mpi_time,user_cpu,sys_cpu,memory_kb,comm_time
20000,1,8,0.740231,0.222855,0.287117,15876,0.734337
40000,1,8,1.158490,0.381117,0.522606,15716,1.147818
80000,1,8,1.049897,0.294793,0.380394,15908,1.021197
100000,1,8,1.159187,0.371701,0.444000,16164,1.135161
120000,1,8,0.910948,0.286573,0.355094,15992,0.881809
140000,1,8,0.934276,0.249802,0.295373,15936,0.906417
20000,2,8,0.991096,0.316571,0.373175,15776,0.975979
40000,2,8,1.042391,0.275458,0.399805,15748,1.032048
80000,2,8,0.936012,0.252301,0.339486,15704,0.918545
100000,2,8,1.016081,0.322458,0.376635,15896,0.987795
120000,2,8,1.183099,0.342444,0.510690,16128,1.144221
140000,2,8,0.864101,0.206773,0.260131,15844,0.814874
20000,3,8,1.561985,0.464973,0.669271,15792,1.554145
40000,3,8,0.893082,0.268266,0.333677,15612,0.886023
80000,3,8,0.811686,0.255072,0.322094,15672,0.787156
100000,3,8,1.055345,0.325157,0.438814,15744,1.029183
120000,3,8,1.046072,0.264792,0.343208,15848,1.009693
140000,3,8,1.130093,0.284114,0.369021,15616,1.095916
20000,4,8,1.080998,0.337855,0.413156,15688,1.071640
40000,4,8,1.025062,0.316956,0.388437,15836,1.014344
80000,4,8,0.887042,0.257665,0.300958,15768,0.863770
100000,4,8,0.840149,0.255901,0.310952,15932,0.815582
120000,4,8,0.990174,0.302760,0.386546,16100,0.961444
140000,4,8,0.948161,0.287404,0.374339,15856,0.914825
20000,5,8,0.659113,0.187613,0.236253,15628,0.653038
40000,5,8,1.115937,0.266251,0.419564,16016,1.097487
80000,5,8,0.755252,0.195897,0.267974,15836,0.741092
100000,5,8,1.001126,0.327453,0.417929,15676,0.977113
120000,5,8,1.011036,0.281988,0.352648,15796,0.973248
140000,5,8,0.914116,0.275687,0.344091,15856,0.882948
20000,6,8,1.162996,0.333239,0.435523,15800,1.152906
40000,6,8,1.164911,0.362586,0.438911,15988,1.146501
80000,6,8,0.887147,0.325636,0.363982,15792,0.865582
100000,6,8,0.857113,0.268882,0.316929,15676,0.829887
120000,6,8,1.154269,0.306976,0.428674,15860,1.128192
140000,6,8,1.105281,0.397978,0.394328,15804,1.075156
20000,7,8,0.802080,0.198832,0.286904,16024,0.795900
40000,7,8,0.976084,0.299973,0.358977,15704,0.955548
80000,7,8,1.135575,0.359163,0.462845,15664,1.105811
100000,7,8,0.834002,0.220333,0.275530,15900,0.808593
120000,7,8,0.926972,0.269086,0.321870,15900,0.897384
140000,7,8,1.086097,0.323640,0.403482,15800,1.049004
20000,8,8,1.097047,0.314239,0.423855,15836,1.090959
40000,8,8,1.133905,0.355822,0.450010,15864,1.120232
80000,8,8,0.860471,0.255753,0.353345,15812,0.827057
100000,8,8,1.727422,0.510374,0.704578,15648,1.683806
120000,8,8,1.095217,0.337479,0.368427,15888,1.066159
140000,8,8,1.185995,0.331490,0.404633,15992,1.148586
20000,9,8,0.876900,0.208451,0.287169,15728,0.860335
40000,9,8,0.913080,0.233983,0.303921,15844,0.902601
80000,9,8,1.044980,0.348705,0.414026,15952,1.028832
100000,9,8,1.138058,0.336531,0.470888,15944,1.105383
120000,9,8,1.168999,0.359220,0.438516,15896,1.132571
140000,9,8,0.928982,0.289402,0.395800,15840,0.893523
20000,10,8,1.090082,0.310429,0.424643,15832,1.080366
40000,10,8,1.011186,0.312977,0.378666,15656,1.000545
80000,10,8,1.151816,0.352801,0.439658,15768,1.123428
100000,10,8,1.004079,0.336843,0.389061,15816,0.978146
120000,10,8,0.999106,0.301272,0.382866,15900,0.969234
140000,10,8,1.087982,0.319491,0.385502,16084,1.048066
