N,trial,real_time,user_cpu,sys_cpu,memory_kb
20000,1,0.032400,0.032408,0.000000,1748
40000,1,0.068162,0.066932,0.001237,1888
80000,1,0.140349,0.140356,0.000000,2148
100000,1,0.170251,0.170216,0.000000,2276
120000,1,0.201921,0.200936,0.001004,2532
140000,1,0.240952,0.240767,0.000142,2660
20000,2,0.032143,0.032142,0.000000,1744
40000,2,0.067301,0.067308,0.000000,1892
80000,2,0.138501,0.137497,0.001005,2148
100000,2,0.169616,0.169609,0.000000,2276
120000,2,0.205834,0.205566,0.000227,2532
140000,2,0.242438,0.242316,0.000118,2656
20000,3,0.032072,0.032079,0.000000,1748
40000,3,0.067142,0.067138,0.000000,1888
80000,3,0.134910,0.134903,0.000000,2148
100000,3,0.170413,0.170421,0.000000,2276
120000,3,0.203501,0.203215,0.000232,2532
140000,3,0.242684,0.242691,0.000000,2596
20000,4,0.032180,0.031732,0.000457,1684
40000,4,0.066555,0.066268,0.000283,1892
80000,4,0.135237,0.134964,0.000256,2148
100000,4,0.170956,0.170942,0.000000,2276
120000,4,0.205455,0.204460,0.001002,2532
140000,4,0.236693,0.236485,0.000125,2532
20000,5,0.031984,0.031991,0.000000,1748
40000,5,0.065466,0.065473,0.000000,1828
80000,5,0.137597,0.137605,0.000000,2148
100000,5,0.169571,0.169540,0.000000,2276
120000,5,0.204098,0.203846,0.000240,2532
140000,5,0.238942,0.237603,0.001285,2660
20000,6,0.032072,0.032079,0.000000,1748
40000,6,0.068243,0.068250,0.000000,1892
80000,6,0.137334,0.136325,0.001003,2148
100000,6,0.169883,0.169848,0.000000,2276
120000,6,0.209693,0.209669,0.000000,2532
140000,6,0.237498,0.237496,0.000000,2660
20000,7,0.032087,0.032074,0.000000,1684
40000,7,0.067815,0.067799,0.000000,1828
80000,7,0.136474,0.136482,0.000000,2084
100000,7,0.172008,0.171309,0.000706,2276
120000,7,0.207836,0.207828,0.000000,2528
140000,7,0.237994,0.237964,0.000000,2660
20000,8,0.032171,0.031298,0.000880,1748
40000,8,0.067685,0.067692,0.000000,1888
80000,8,0.138223,0.138188,0.000000,2148
100000,8,0.168816,0.168822,0.000000,2276
120000,8,0.203111,0.202628,0.000463,2468
140000,8,0.244685,0.244677,0.000000,2660
20000,9,0.032028,0.031620,0.000405,1748
40000,9,0.065577,0.065308,0.000275,1892
80000,9,0.134102,0.133808,0.000243,2084
100000,9,0.169405,0.169413,0.000000,2276
120000,9,0.202250,0.201256,0.001001,2468
140000,9,0.243742,0.243573,0.000145,2596
20000,10,0.032063,0.032070,0.000000,1748
40000,10,0.068377,0.068359,0.000000,1892
80000,10,0.135742,0.134731,0.001008,2144
100000,10,0.171139,0.171122,0.000000,2276
120000,10,0.202789,0.201792,0.001003,2532
140000,10,0.239324,0.239113,0.000136,2596
